❯ python3 experiment.py
2026-02-11 09:43:59,724 - SeedMiner - INFO - Starting seed mining with 1000 attempts
[*] MINING SEED 1 (1/1000)
/home/grisun0/src/py/HPU-Core/experiment.py:323: UserWarning: cov(): degrees of freedom is <= 0. Correction should be strictly less than the number of observations. (Triggered internally at /pytorch/aten/src/ATen/native/Correlation.cpp:116.)
  correlation_matrix = torch.corrcoef(weights)
  Epoch 310: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4902, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 320: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4902, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 330: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4902, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 340: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4902, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 350: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4903, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 360: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4903, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 370: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4903, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 380: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4903, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 390: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4903, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 400: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4903, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 410: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4904, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 420: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4904, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 430: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4904, T_eff=0.00e+00, C_v=0.00e+00
  Epoch 440: Loss=0.003906, ValAcc=1.0000, LC=1.0000, SP=0.0000, δ=0.4904, T_eff=0.00e+00, C_v=0.00e+00
